temp,voltage,label
0.0,0.0,0
25.19,2.62,1
27.0,4.0,2
25.65,2.31,1
0.0,0.0,0
27.0,4.0,2
27.0,4.0,2
0.0,0.0,0
27.0,4.0,2
0.0,0.0,0
27.0,4.0,2
25.92,2.63,1
27.0,4.0,2
0.0,0.0,0
0.0,0.0,0
25.91,2.73,1
0.0,0.0,0
27.0,4.0,2
27.0,4.0,2
0.0,0.0,0
27.0,4.0,2
0.0,0.0,0
0.0,0.0,0
25.71,2.27,1
0.0,0.0,0
27.0,4.0,2
27.0,4.0,2
25.69,2.91,1
27.0,4.0,2
25.31,2.0,1
25.06,2.39,1
25.83,2.1,1
0.0,0.0,0
27.0,4.0,2
0.0,0.0,0
27.0,4.0,2
25.14,2.23,1
25.94,2.36,1
27.0,4.0,2
25.94,2.24,1
27.0,4.0,2
27.0,4.0,2
0.0,0.0,0
0.0,0.0,0
25.14,2.92,1
25.12,2.46,1
25.78,2.63,1
27.0,4.0,2
27.0,4.0,2
25.71,2.99,1
27.0,4.0,2
25.31,2.63,1
0.0,0.0,0
27.0,4.0,2
27.0,4.0,2
0.0,0.0,0
0.0,0.0,0
27.0,4.0,2
27.0,4.0,2
25.02,2.73,1
27.0,4.0,2
25.51,2.55,1
25.42,2.91,1
25.03,2.44,1
27.0,4.0,2
25.48,2.62,1
25.99,2.24,1
27.0,4.0,2
0.0,0.0,0
25.36,2.21,1
0.0,0.0,0
27.0,4.0,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
27.0,4.0,2
27.0,4.0,2
25.64,2.98,1
25.07,2.7,1
25.64,2.54,1
0.0,0.0,0
25.42,2.78,1
0.0,0.0,0
25.23,2.48,1
25.42,2.37,1
25.06,2.99,1
0.0,0.0,0
27.0,4.0,2
27.0,4.0,2
25.06,2.89,1
0.0,0.0,0
25.08,2.38,1
27.0,4.0,2
27.0,4.0,2
27.0,4.0,2
27.0,4.0,2
27.0,4.0,2
25.51,2.27,1
27.0,4.0,2
25.91,2.72,1
27.0,4.0,2
25.13,2.34,1
25.01,2.52,1
27.0,4.0,2
0.0,0.0,0
0.0,0.0,0
25.79,2.9,1
25.56,2.83,1
27.0,4.0,2
0.0,0.0,0
25.03,2.83,1
0.0,0.0,0
27.0,4.0,2
0.0,0.0,0
25.54,2.25,1
27.0,4.0,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
25.09,2.14,1
27.0,4.0,2
25.1,2.38,1
25.97,2.88,1
25.33,2.74,1
0.0,0.0,0
25.49,2.67,1
27.0,4.0,2
0.0,0.0,0
25.86,2.82,1
0.0,0.0,0
0.0,0.0,0
25.56,2.24,1
27.0,4.0,2
25.58,2.06,1
0.0,0.0,0
27.0,4.0,2
0.0,0.0,0
27.0,4.0,2
27.0,4.0,2
25.71,2.07,1
25.96,2.4,1
27.0,4.0,2
27.0,4.0,2
25.03,2.04,1
27.0,4.0,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
25.92,2.24,1
27.0,4.0,2
0.0,0.0,0
0.0,0.0,0
25.6,2.46,1
25.42,2.11,1
27.0,4.0,2
0.0,0.0,0
0.0,0.0,0
25.04,2.51,1
25.75,2.51,1
0.0,0.0,0
27.0,4.0,2
0.0,0.0,0
25.31,2.48,1
25.24,2.95,1
27.0,4.0,2
27.0,4.0,2
25.84,2.88,1
27.0,4.0,2
25.51,2.89,1
25.39,2.44,1
25.43,2.47,1
25.84,2.98,1
0.0,0.0,0
25.24,2.69,1
27.0,4.0,2
0.0,0.0,0
27.0,4.0,2
27.0,4.0,2
27.0,4.0,2
25.33,2.6,1
27.0,4.0,2
27.0,4.0,2
25.22,2.16,1
25.03,2.45,1
27.0,4.0,2
25.85,2.4,1
27.0,4.0,2
27.0,4.0,2
0.0,0.0,0
27.0,4.0,2
0.0,0.0,0
25.45,2.32,1
27.0,4.0,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
27.0,4.0,2
0.0,0.0,0
27.0,4.0,2
27.0,4.0,2
0.0,0.0,0
27.0,4.0,2
25.04,2.12,1
25.22,3.0,1
27.0,4.0,2
