current,voltage,temperature,vibration,label
-13.24,16.99,34.86,1,2
-13.78,0.0,34.74,0,0
-13.48,11.5,33.5,0,1
-13.29,13.45,36.31,0,2
-13.89,0.0,32.62,0,0
-13.05,0.0,32.88,0,0
-13.28,0.0,30.6,0,0
-13.69,0.0,34.98,0,0
-13.67,10.4,38.84,0,1
-13.47,9.21,31.52,0,1
-13.58,0.0,30.08,0,0
-13.2,9.52,33.35,0,1
-12.55,14.84,42.44,1,2
-13.53,10.04,37.09,0,1
-13.03,17.41,37.44,0,2
-12.64,13.12,41.71,1,2
-13.46,9.49,37.95,0,1
-13.28,15.09,46.32,1,2
-13.22,13.78,49.35,1,2
-13.23,0.0,30.9,0,0
-13.28,16.98,46.94,1,2
-13.23,9.54,32.59,0,1
-13.77,11.37,31.81,0,1
-13.09,0.0,30.6,0,0
-13.1,13.7,44.31,0,2
-13.67,9.67,31.91,0,1
-13.68,10.46,30.85,0,1
-12.6,13.69,48.2,1,2
-13.08,15.66,36.42,0,2
-13.35,11.28,32.2,0,1
-13.08,17.47,31.0,0,2
-13.16,15.93,44.07,1,2
-13.54,11.02,37.19,0,1
-13.82,0.0,33.72,0,0
-13.66,0.0,30.91,0,0
-13.76,0.0,33.29,0,0
-13.3,11.2,39.64,0,1
-12.55,15.91,39.57,1,2
-13.49,11.84,32.74,0,1
-13.74,0.0,30.84,0,0
-13.32,0.0,33.93,0,0
-13.59,10.77,31.65,0,1
-13.69,9.98,36.71,0,1
-13.6,10.87,39.76,0,1
-13.59,0.0,33.68,0,0
-13.22,0.0,32.37,0,0
-13.54,0.0,30.82,0,0
-12.57,14.71,36.21,0,2
-13.78,9.57,31.17,0,1
-13.37,11.21,32.97,0,1
-13.26,9.61,31.81,0,1
-13.23,0.0,33.9,0,0
-13.15,16.44,36.53,0,2
-13.53,0.0,31.24,0,0
-13.59,10.15,30.63,0,1
-12.98,13.27,37.32,1,2
-13.09,0.0,30.68,0,0
-13.28,11.62,36.0,0,1
-13.25,10.22,30.65,0,1
-13.3,10.62,32.48,0,1
-13.03,15.22,44.81,0,2
-13.85,0.0,31.31,0,0
-13.6,11.84,31.82,0,1
-13.18,14.66,36.64,1,2
-13.23,13.84,39.34,1,2
-12.9,16.93,37.13,1,2
-12.69,15.49,38.81,0,2
-12.96,13.75,46.8,0,2
-12.63,15.75,42.58,1,2
-13.4,0.0,31.29,0,0
-13.67,11.75,33.84,0,1
-13.55,10.96,34.77,0,1
-12.84,16.57,44.16,1,2
-13.34,11.96,36.0,0,1
-13.67,10.14,34.43,0,1
-13.14,17.28,40.14,1,2
-13.43,0.0,31.13,0,0
-13.34,0.0,31.71,0,0
-13.25,14.02,35.66,1,2
-13.06,14.02,32.92,1,2
-13.76,9.08,34.02,0,1
-13.93,0.0,32.87,0,0
-13.85,0.0,31.53,0,0
-12.61,16.36,35.96,1,2
-13.56,0.0,31.08,0,0
-13.07,16.99,32.15,1,2
-13.52,9.45,31.97,0,1
-13.28,9.8,33.3,0,1
-13.76,0.0,32.98,0,0
-13.6,0.0,32.69,0,0
-13.32,11.69,34.26,0,1
-13.34,0.0,30.02,0,0
-13.12,15.39,49.4,1,2
-13.54,0.0,32.92,0,0
-13.23,11.49,39.84,0,1
-13.29,0.0,34.01,0,0
-13.14,0.0,33.78,0,0
-13.79,11.1,33.81,0,1
-12.68,17.74,43.66,0,2
-12.97,15.58,42.67,1,2
-12.57,16.7,41.72,1,2
-13.4,9.77,34.87,0,1
-13.57,10.5,32.53,0,1
-13.42,10.59,35.04,0,1
-13.41,9.29,39.73,0,1
-12.81,15.62,38.06,1,2
-13.29,0.0,32.17,0,0
-13.68,9.0,34.11,0,1
-13.12,17.24,44.79,1,2
-13.2,16.9,38.62,0,2
-12.63,17.57,37.33,1,2
