flow,voltage,label
19.27,11.0,2
0.0,0.0,0
0.0,0.0,0
4.93,11.24,2
0.0,0.0,0
7.19,9.22,2
0.84,8.79,2
0.0,0.0,0
0.0,0.0,0
34.91,9.13,2
0.0,0.0,0
24.79,9.34,2
0.0,0.0,0
0.0,0.0,0
40.58,9.28,2
198.94,5.77,1
18.44,9.72,2
4.94,11.21,2
185.44,6.0,1
34.31,9.71,2
255.35,7.39,1
0.0,0.0,0
0.0,0.0,0
179.15,5.85,1
0.0,0.0,0
0.0,0.0,0
155.91,7.61,1
0.0,0.0,0
35.05,10.16,2
0.0,0.0,0
11.18,9.66,2
44.36,10.19,2
209.91,6.48,1
0.0,0.0,0
69.98,5.58,1
21.16,11.24,2
10.29,9.52,2
16.65,8.16,2
179.96,6.29,1
49.48,11.22,2
24.67,10.15,2
47.73,11.28,2
114.76,6.18,1
0.0,0.0,0
0.0,0.0,0
72.77,5.08,1
40.55,11.91,2
0.0,0.0,0
63.75,6.66,1
0.0,0.0,0
290.35,6.86,1
0.0,0.0,0
22.24,10.09,2
95.78,6.01,1
13.92,10.0,2
162.14,7.43,1
0.0,0.0,0
18.69,8.71,2
0.0,0.0,0
27.85,11.71,2
241.74,5.07,1
289.48,7.31,1
0.69,9.11,2
0.0,0.0,0
9.04,11.49,2
17.39,9.52,2
0.0,0.0,0
40.46,11.46,2
170.54,7.1,1
19.85,9.62,2
0.0,0.0,0
62.66,6.18,1
0.0,0.0,0
25.96,8.52,2
45.46,10.75,2
65.37,6.44,1
13.26,9.05,2
77.07,5.02,1
221.86,6.13,1
151.74,5.92,1
10.37,8.92,2
41.19,8.86,2
102.72,7.36,1
0.0,0.0,0
169.96,5.45,1
81.5,5.1,1
84.88,7.49,1
15.63,11.54,2
20.66,8.43,2
116.51,6.16,1
285.07,7.74,1
17.07,10.34,2
0.93,8.62,2
0.0,0.0,0
234.89,5.22,1
0.0,0.0,0
0.0,0.0,0
144.01,5.37,1
0.0,0.0,0
2.66,11.3,2
180.36,7.64,1
282.31,6.37,1
0.0,0.0,0
3.47,11.2,2
132.0,6.83,1
49.08,11.18,2
282.5,6.32,1
108.92,7.12,1
25.56,11.52,2
5.49,9.07,2
43.68,11.06,2
166.12,6.96,1
43.31,10.57,2
201.2,7.06,1
0.0,0.0,0
45.68,8.02,2
35.68,8.11,2
271.68,6.85,1
46.7,11.13,2
24.02,9.93,2
292.42,6.67,1
0.0,0.0,0
0.0,0.0,0
295.19,5.49,1
27.1,9.72,2
24.92,8.55,2
7.82,8.93,2
0.0,0.0,0
18.77,9.8,2
0.0,0.0,0
182.6,5.7,1
0.0,0.0,0
175.06,5.89,1
4.68,10.53,2
68.36,7.49,1
285.12,7.62,1
128.76,7.21,1
0.0,0.0,0
187.83,6.52,1
0.0,0.0,0
266.03,5.63,1
30.91,11.59,2
153.6,5.85,1
120.43,6.91,1
0.0,0.0,0
35.3,9.05,2
201.42,5.28,1
0.0,0.0,0
245.4,5.14,1
33.62,9.47,2
23.38,10.51,2
10.23,8.8,2
13.78,10.43,2
24.22,11.72,2
18.78,11.84,2
84.89,6.32,1
210.0,7.78,1
24.87,11.38,2
230.63,7.73,1
0.0,0.0,0
0.0,0.0,0
118.67,5.29,1
201.6,7.95,1
0.0,0.0,0
11.92,8.4,2
106.83,5.97,1
30.55,8.94,2
35.69,9.0,2
0.0,0.0,0
0.0,0.0,0
2.89,9.14,2
0.0,0.0,0
177.68,5.89,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
4.4,11.42,2
0.0,0.0,0
252.28,5.05,1
248.79,7.62,1
137.89,6.18,1
198.47,5.55,1
10.1,10.77,2
125.49,7.35,1
0.0,0.0,0
129.18,6.15,1
0.0,0.0,0
0.0,0.0,0
68.44,7.42,1
14.07,8.13,2
263.02,7.34,1
0.0,0.0,0
23.07,10.37,2
107.79,6.28,1
15.72,9.35,2
14.99,10.56,2
106.02,6.52,1
123.77,7.14,1
152.23,7.17,1
258.88,6.09,1
0.0,0.0,0
0.0,0.0,0
142.5,5.82,1
0.0,0.0,0
0.0,0.0,0
63.45,5.7,1
252.29,6.05,1
30.08,11.11,2
21.97,10.71,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
217.35,6.54,1
0.0,0.0,0
0.0,0.0,0
21.14,11.19,2
0.0,0.0,0
103.32,5.64,1
2.82,11.75,2
24.94,8.27,2
0.0,0.0,0
16.58,12.0,2
29.35,11.2,2
240.92,7.83,1
206.7,5.64,1
0.0,0.0,0
204.18,6.74,1
0.0,0.0,0
30.55,9.91,2
162.11,6.23,1
0.0,0.0,0
5.43,9.2,2
66.7,7.41,1
0.0,0.0,0
37.59,10.66,2
45.21,10.96,2
0.0,0.0,0
24.15,10.77,2
10.88,8.65,2
42.36,8.46,2
41.48,9.35,2
0.0,0.0,0
43.15,11.61,2
20.68,10.05,2
27.48,10.83,2
286.15,6.31,1
0.0,0.0,0
0.0,0.0,0
21.92,8.04,2
17.67,11.53,2
0.0,0.0,0
0.0,0.0,0
113.52,5.02,1
0.0,0.0,0
182.9,5.97,1
18.66,8.46,2
4.19,9.92,2
0.0,0.0,0
251.89,6.15,1
286.0,5.99,1
35.51,9.33,2
159.02,6.37,1
82.16,6.16,1
48.2,10.62,2
260.19,6.07,1
0.0,0.0,0
4.11,11.06,2
213.59,6.65,1
0.0,0.0,0
203.92,5.71,1
46.93,9.24,2
0.0,0.0,0
195.72,6.35,1
0.0,0.0,0
25.73,9.8,2
0.0,0.0,0
263.87,6.57,1
193.89,6.77,1
22.32,8.46,2
41.0,10.47,2
0.0,0.0,0
35.67,8.25,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
233.03,7.58,1
103.27,6.14,1
35.16,8.31,2
8.2,11.57,2
40.24,11.17,2
0.0,0.0,0
217.79,7.93,1
236.59,6.05,1
17.01,11.13,2
0.0,0.0,0
290.62,5.44,1
0.0,0.0,0
0.0,0.0,0
15.22,9.97,2
0.0,0.0,0
0.0,0.0,0
19.36,9.75,2
109.79,5.19,1
18.48,10.49,2
1.11,11.4,2
104.04,6.01,1
275.02,7.11,1
48.41,11.04,2
0.0,0.0,0
141.4,7.22,1
91.51,7.85,1
17.95,8.77,2
31.47,8.7,2
0.0,0.0,0
0.0,0.0,0
15.49,11.08,2
0.0,0.0,0
247.77,6.79,1
264.39,7.9,1
0.0,0.0,0
289.43,8.0,1
33.15,8.61,2
0.0,0.0,0
0.0,0.0,0
2.53,9.7,2
27.69,8.95,2
20.11,10.75,2
188.59,6.2,1
6.88,11.39,2
228.45,7.62,1
0.27,8.71,2
0.0,0.0,0
228.13,6.52,1
0.0,0.0,0
31.77,8.2,2
172.6,7.02,1
49.53,10.08,2
143.22,7.38,1
0.0,0.0,0
136.69,7.87,1
0.0,0.0,0
9.33,11.48,2
15.69,11.36,2
31.3,8.98,2
97.95,7.87,1
0.0,0.0,0
0.0,0.0,0
19.73,9.33,2
0.0,0.0,0
118.73,7.19,1
159.04,7.34,1
267.58,7.02,1
221.99,7.31,1
0.0,0.0,0
105.4,7.68,1
252.7,6.56,1
42.98,9.75,2
117.38,6.15,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
35.48,8.54,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
213.9,6.12,1
37.19,9.9,2
0.0,0.0,0
18.7,11.65,2
128.17,5.12,1
11.75,9.45,2
0.0,0.0,0
36.89,8.02,2
26.04,8.21,2
19.88,8.48,2
41.7,9.93,2
181.7,5.62,1
43.24,10.2,2
290.82,5.19,1
0.0,0.0,0
0.0,0.0,0
95.79,6.99,1
2.31,11.17,2
278.8,6.93,1
0.0,0.0,0
5.37,8.08,2
47.48,11.03,2
0.0,0.0,0
0.0,0.0,0
39.67,11.29,2
0.0,0.0,0
0.0,0.0,0
21.61,9.97,2
10.01,10.28,2
6.45,8.77,2
143.17,6.29,1
287.35,7.48,1
0.0,0.0,0
91.4,5.45,1
42.03,10.7,2
8.41,10.06,2
0.0,0.0,0
0.0,0.0,0
13.62,10.49,2
35.6,9.08,2
23.82,10.13,2
248.3,6.03,1
0.0,0.0,0
0.0,0.0,0
260.81,7.93,1
99.41,5.19,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
41.28,11.34,2
43.42,10.36,2
21.19,10.91,2
33.56,11.91,2
0.0,0.0,0
0.0,0.0,0
97.99,7.15,1
0.0,0.0,0
260.05,7.88,1
241.37,6.56,1
151.27,5.86,1
0.0,0.0,0
0.98,9.87,2
0.0,0.0,0
17.14,8.7,2
34.51,9.51,2
16.17,9.53,2
39.29,10.71,2
151.23,5.7,1
248.73,6.68,1
0.0,0.0,0
43.88,8.01,2
0.0,0.0,0
93.63,5.48,1
111.29,5.63,1
3.52,11.97,2
0.0,0.0,0
285.46,5.45,1
0.0,0.0,0
233.8,6.47,1
0.0,0.0,0
0.0,0.0,0
32.53,10.77,2
0.0,0.0,0
0.0,0.0,0
284.85,5.23,1
154.62,5.04,1
45.85,8.21,2
250.91,5.15,1
1.8,8.67,2
3.23,8.65,2
16.14,11.24,2
0.0,0.0,0
209.39,5.46,1
0.0,0.0,0
49.99,8.02,2
158.88,5.22,1
0.0,0.0,0
127.04,7.46,1
140.31,7.42,1
196.63,7.02,1
0.0,0.0,0
39.72,10.56,2
46.32,11.31,2
0.0,0.0,0
39.19,8.71,2
0.0,0.0,0
0.0,0.0,0
10.48,10.38,2
127.34,7.38,1
0.0,0.0,0
227.05,7.99,1
135.17,6.49,1
35.16,9.34,2
237.75,6.34,1
0.0,0.0,0
128.71,7.14,1
28.57,9.56,2
153.23,5.7,1
122.64,5.41,1
9.73,11.58,2
0.0,0.0,0
11.57,10.0,2
62.56,6.6,1
0.0,0.0,0
24.92,9.79,2
33.29,11.86,2
0.0,0.0,0
0.0,0.0,0
179.99,6.2,1
16.47,9.26,2
227.56,5.53,1
17.52,11.73,2
178.26,5.38,1
0.0,0.0,0
0.0,0.0,0
109.38,5.2,1
210.99,7.64,1
2.52,8.79,2
20.88,11.29,2
229.93,5.76,1
39.92,9.9,2
40.63,10.33,2
0.0,0.0,0
8.53,9.06,2
166.41,7.65,1
0.0,0.0,0
0.0,0.0,0
136.6,5.69,1
252.19,5.73,1
0.0,0.0,0
0.0,0.0,0
12.15,11.59,2
7.37,11.66,2
223.21,7.72,1
0.03,11.58,2
38.6,8.51,2
37.73,9.62,2
200.0,7.53,1
0.0,0.0,0
0.0,0.0,0
43.13,8.96,2
256.13,5.98,1
29.82,9.11,2
191.71,7.92,1
0.0,0.0,0
212.09,5.11,1
107.65,6.46,1
37.03,10.08,2
40.58,10.37,2
0.0,0.0,0
102.01,7.99,1
0.0,0.0,0
294.3,5.61,1
262.95,7.89,1
294.74,7.33,1
12.82,11.54,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
24.12,9.92,2
127.25,7.19,1
0.0,0.0,0
0.51,11.72,2
30.27,11.97,2
6.87,9.52,2
245.89,6.36,1
0.0,0.0,0
20.35,11.89,2
128.37,7.88,1
0.0,0.0,0
9.67,9.96,2
161.95,6.61,1
270.99,7.9,1
12.74,8.67,2
274.35,5.84,1
178.46,7.99,1
214.43,5.67,1
0.0,0.0,0
0.0,0.0,0
36.15,9.12,2
120.21,6.37,1
0.0,0.0,0
0.0,0.0,0
3.21,8.66,2
245.92,7.86,1
12.18,10.13,2
93.55,7.21,1
0.0,0.0,0
65.06,6.68,1
0.0,0.0,0
102.39,5.63,1
24.67,9.55,2
0.0,0.0,0
0.0,0.0,0
44.84,11.71,2
13.78,11.81,2
0.0,0.0,0
43.41,8.25,2
0.0,0.0,0
150.12,7.81,1
26.68,9.19,2
275.0,7.08,1
0.0,0.0,0
0.0,0.0,0
4.82,8.42,2
261.39,7.35,1
11.49,8.34,2
44.67,10.45,2
49.07,9.15,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
30.04,11.8,2
83.22,5.75,1
181.71,7.0,1
47.09,10.39,2
0.0,0.0,0
241.7,7.21,1
0.0,0.0,0
138.12,7.23,1
98.19,5.21,1
258.83,6.32,1
0.0,0.0,0
247.07,6.49,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
249.84,7.91,1
0.0,0.0,0
269.78,6.44,1
49.06,10.63,2
3.26,11.45,2
0.0,0.0,0
137.86,7.94,1
115.7,6.31,1
272.67,5.84,1
0.0,0.0,0
9.71,10.23,2
0.0,0.0,0
49.52,10.53,2
46.31,10.17,2
26.71,9.33,2
189.45,7.17,1
210.84,7.59,1
46.08,9.18,2
49.57,10.27,2
0.0,0.0,0
33.28,10.68,2
24.92,9.53,2
0.0,0.0,0
213.53,5.92,1
129.83,5.79,1
148.94,5.06,1
124.07,5.7,1
18.77,8.09,2
0.33,8.14,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
78.52,7.09,1
41.71,10.3,2
83.31,6.01,1
0.0,0.0,0
5.34,11.92,2
0.0,0.0,0
0.0,0.0,0
272.64,7.48,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
26.3,11.35,2
0.0,0.0,0
150.4,6.63,1
0.0,0.0,0
49.57,9.65,2
0.0,0.0,0
