current,voltage,temperature,vibration,label
-13.37,0.0,32.53,0,0
-12.9,10.81,43.83,0,2
-13.82,0.0,31.11,0,0
-13.47,7.22,32.08,0,1
-12.51,10.17,43.53,1,2
-13.66,6.6,31.55,0,1
-13.01,0.0,34.16,0,0
-12.73,11.95,46.61,0,2
-12.59,10.16,49.04,0,2
-13.51,6.37,33.45,0,1
-13.46,0.0,31.03,0,0
-13.49,5.73,32.33,0,1
-13.57,5.27,38.88,0,1
-13.71,0.0,34.8,0,0
-13.62,7.22,33.55,0,1
-13.45,6.82,36.09,0,1
-13.47,5.71,31.7,0,1
-13.18,0.0,34.22,0,0
-13.42,7.21,32.44,0,1
-13.03,0.0,34.42,0,0
-13.4,0.0,31.27,0,0
-13.39,0.0,34.57,0,0
-13.94,0.0,30.79,0,0
-13.56,6.98,31.03,0,1
-13.34,6.88,31.5,0,1
-12.55,9.49,39.87,0,2
-13.55,6.08,37.22,0,1
-13.56,5.66,34.02,0,1
-13.88,0.0,30.87,0,0
-13.35,7.4,36.47,0,1
-13.15,9.49,44.92,1,2
-13.31,0.0,30.53,0,0
-13.29,10.6,47.14,1,2
-13.25,11.43,45.73,1,2
-13.15,0.0,31.91,0,0
-12.84,9.52,32.51,0,2
-13.57,5.35,32.46,0,1
-13.7,5.94,34.54,0,1
-13.12,8.56,43.38,0,2
-13.96,0.0,30.93,0,0
-13.13,9.65,36.38,0,2
-13.5,5.38,33.16,0,1
-13.26,6.45,36.89,0,1
-13.35,0.0,34.19,0,0
-13.24,7.53,33.6,0,1
-13.55,6.84,35.19,0,1
-13.28,0.0,33.27,0,0
-13.29,9.07,49.33,1,2
-13.75,5.01,35.69,0,1
-13.08,0.0,30.39,0,0
-13.71,6.58,37.18,0,1
-13.4,6.48,31.42,0,1
-13.68,6.61,35.61,0,1
-13.88,0.0,32.78,0,0
-13.93,0.0,32.5,0,0
-13.79,6.39,37.08,0,1
-13.53,0.0,32.78,0,0
-13.49,7.38,30.62,0,1
-13.63,6.99,32.16,0,1
-13.27,7.57,39.97,0,1
-13.39,0.0,34.38,0,0
-13.76,0.0,32.95,0,0
-13.22,5.66,38.5,0,1
-12.71,9.3,41.18,1,2
-13.57,7.49,32.23,0,1
-12.56,10.86,32.84,0,2
-13.05,0.0,33.71,0,0
-13.07,9.01,46.21,0,2
-13.24,0.0,31.18,0,0
-13.58,0.0,30.83,0,0
-13.22,6.67,32.95,0,1
-13.48,0.0,34.94,0,0
-13.16,0.0,30.14,0,0
-12.57,9.58,49.98,1,2
-13.31,6.52,32.48,0,1
-13.09,8.61,47.07,0,2
-13.26,0.0,31.6,0,0
-13.12,11.23,31.54,0,2
-13.2,11.11,31.91,0,2
-13.38,6.43,36.32,0,1
-13.77,7.58,38.97,0,1
-13.49,0.0,31.29,0,0
-13.43,6.16,31.98,0,1
-12.83,9.28,49.13,1,2
-13.2,8.03,39.8,0,2
-13.51,6.33,38.14,0,1
-13.38,0.0,30.62,0,0
-13.08,0.0,31.33,0,0
-13.73,5.84,34.86,0,1
-13.21,5.71,34.1,0,1
-13.43,6.6,35.03,0,1
-13.62,5.55,30.64,0,1
-12.54,11.45,33.23,0,2
-13.21,0.0,33.64,0,0
-12.96,11.91,41.31,1,2
-13.28,9.58,37.49,0,2
-13.05,0.0,33.51,0,0
-13.1,8.57,40.62,0,2
-13.85,0.0,33.69,0,0
-13.51,0.0,34.74,0,0
-13.2,10.24,45.66,1,2
-12.79,10.57,42.75,1,2
-12.85,8.32,47.07,0,2
-13.35,5.28,33.98,0,1
-13.25,8.59,44.18,0,2
-13.84,0.0,31.65,0,0
-13.61,0.0,32.04,0,0
-13.45,6.58,31.44,0,1
-13.75,0.0,31.71,0,0
-13.92,0.0,32.61,0,0
-13.5,0.0,32.43,0,0
-13.53,5.59,36.5,0,1
-13.01,8.51,33.2,0,2
-13.78,6.33,37.44,0,1
-13.56,5.42,35.56,0,1
-13.61,0.0,31.3,0,0
-13.86,0.0,30.28,0,0
-13.49,6.16,33.85,0,1
-13.75,7.27,39.55,0,1
-13.08,0.0,31.16,0,0
-13.47,5.58,38.56,0,1
-13.39,7.87,31.71,0,1
-13.71,0.0,32.56,0,0
-13.71,6.03,35.21,0,1
-13.21,9.65,47.1,1,2
-13.72,5.63,31.75,0,1
-13.33,0.0,34.04,0,0
-12.85,8.55,38.73,0,2
-13.08,0.0,32.35,0,0
-13.25,0.0,33.52,0,0
-13.48,5.63,35.71,0,1
-13.46,6.66,38.12,0,1
-13.42,0.0,34.24,0,0
-13.24,6.22,35.75,0,1
-13.13,10.48,45.05,0,2
-13.62,7.63,37.25,0,1
-13.34,6.24,37.77,0,1
-13.51,5.93,30.53,0,1
-13.97,0.0,30.34,0,0
