timestamp,motor_current,motor_voltage,motor_temp,motor_vibration,motor_fault,fan_current,fan_voltage,fan_temp,fan_vibration,fan_fault,bulb_current,bulb_voltage,bulb_temp,bulb_fault
2026-03-05 18:07:53.489648,2,87,41,2,0,1,14,30,1,0,0,8,35,0
2026-03-05 18:07:58.489648,1,74,41,2,0,1,17,30,1,0,0,12,36,0
2026-03-05 18:08:03.489648,2,66,42,2,0,0,22,30,1,0,1,8,36,0
2026-03-05 18:08:08.489648,1,69,42,2,0,1,22,30,2,0,0,11,37,0
2026-03-05 18:08:13.489648,1,70,43,3,0,1,17,31,2,0,1,9,37,0
2026-03-05 18:08:18.489648,2,92,44,1,0,1,17,31,1,0,1,12,37,0
2026-03-05 18:08:23.489648,2,106,44,1,0,1,24,31,1,0,0,8,37,0
2026-03-05 18:08:28.489648,1,84,44,1,0,1,11,31,1,0,0,6,37,0
2026-03-05 18:08:33.489648,1,80,44,3,0,1,21,31,1,0,0,8,38,0
2026-03-05 18:08:38.489648,2,118,44,1,0,1,23,31,2,0,1,7,38,0
2026-03-05 18:08:43.489648,1,83,45,1,0,1,23,31,1,0,0,8,38,0
2026-03-05 18:08:48.489648,2,97,45,3,0,1,22,32,1,0,0,10,38,0
2026-03-05 18:08:53.489648,2,105,46,2,0,1,18,32,1,0,0,12,38,0
2026-03-05 18:08:58.489648,2,113,47,2,0,1,18,33,2,0,1,9,38,0
2026-03-05 18:09:03.489648,2,84,48,2,0,1,14,33,1,0,1,6,39,0
2026-03-05 18:09:08.489648,1,113,48,3,0,1,15,33,1,0,1,8,39,0
2026-03-05 18:09:13.489648,1,73,49,2,0,1,21,34,1,0,1,10,39,0
2026-03-05 18:09:18.489648,1,103,50,3,0,0,15,35,1,0,0,10,39,0
2026-03-05 18:09:23.489648,1,77,50,2,0,1,21,35,1,0,0,9,40,0
2026-03-05 18:09:28.489648,2,113,51,3,0,0,19,36,1,0,0,12,40,0
2026-03-05 18:09:33.489648,1,70,51,3,0,1,15,37,2,0,0,6,40,0
